CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.01;Receitas da Intermediação Financeira;147064451.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.01;Receitas da Intermediação Financeira;120250344.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.01.01;Receita de Juros;147064451.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.01.01;Receita de Juros;120250344.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.02;Despesas da Intermediação Financeira;-115724699.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.02;Despesas da Intermediação Financeira;-82160825.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.02.01;Despesas de Juros;-92860332.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.02.01;Despesas de Juros;-69536974.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.02.02;Despesa com Perdas em Empréstimos a Clientes;-22864367.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.02.02;Despesa com Perdas em Empréstimos a Clientes;-12462801.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.02.03;Despesa com Perdas em Empréstimos a instituições financeiras;0.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.02.03;Despesa com Perdas em Empréstimos a instituições financeiras;-12523.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.02.04;Despesa com Perdas em títulos e valores mobiliários;0.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.02.04;Despesa com Perdas em títulos e valores mobiliários;-148527.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.03;Resultado Bruto Intermediação Financeira;31339752.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.03;Resultado Bruto Intermediação Financeira;38089519.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.04;Outras Despesas/Receitas Operacionais;-15409291.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.04;Outras Despesas/Receitas Operacionais;-17675320.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.04.01;Receitas de Prestação de Serviços;0.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.04.01;Receitas de Prestação de Serviços;0.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.04.02;Despesas de Pessoal;-20560025.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-01-01;2018-12-31;3.04.02;Despesas de Pessoal;-21092621.00
00.000.000/0001-91;2018-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-01-01;2017-12-31;3.04.03;Outras Despesas Administrativas;-9282288.00
